Table 1
Summary of the Star-forming Galaxy Sample: Beyond the Local Group

Galaxy	D	L_1.4 GHz	L_12 mum	L_25 mum	L_60 mum	L_100 mum	L_8-1000 mum	L_HCN	Swift-BAT Detected	
#	(Mpc)	(10^21 W Hz^-1)	(10^23 W Hz^-1)	(10^10 L_sun)	(10^8 K km s^-1 pc^2)	(AGN Classification)	
NGC 253	2.5	4.18	0.307	1.16	7.24	9.63	2.1	0.27	 ... 	
M82	3.4	10.6	1.10	4.60	20.5	19.0	4.6	0.30	 ... 	
IC 342	3.7	3.69	0.244	0.565	2.96	6.42	1.4	0.47	 ... 	
NGC 4945	3.7	10.8	0.454	0.694	10.2	21.8	2.6	0.27	Sy2	
M83	3.7	4.26	0.352	0.714	4.35	8.58	1.4	0.35	 ... 	
NGC 4826	4.7	0.268	0.0624	0.0756	0.970	2.16	0.26	0.040	 ... 	
NGC 6946	5.5	5.05	0.438	0.749	4.70	10.5	1.6	0.49	 ... 	
NGC 2903	6.2	2.06	0.243	0.397	2.78	6.00	0.83	0.090	 ... 	
NGC 5055	7.3	2.49	0.341	0.406	2.55	8.92	1.1	0.10	 ... 	
NGC 3628	7.6	3.63	0.216	0.335	3.79	7.31	1.0	0.24	 ... 	
NGC 3627	7.6	3.17	0.333	0.591	4.58	9.44	1.3	0.080	 ... 	
NGC 4631	8.1	9.42	0.405	0.704	6.70	12.6	2.0	0.080	 ... 	
NGC 4414	9.3	2.51	0.288	0.374	3.06	7.32	0.81	0.16	 ... 	
M51	9.6	16.4	0.795	1.05	10.7	24.4	4.2	0.50	 ... 	
NGC 891	10.3	8.90	0.669	0.889	8.44	21.9	2.6	0.25	 ... 	
NGC 3556	10.6	4.11	0.308	0.563	4.38	10.3	1.4	0.090	 ... 	
NGC 3893	13.9	3.30	0.335	0.381	3.60	8.51	1.2	0.23	 ... 	
NGC 660	14.0	9.08	0.715	1.71	15.4	26.9	3.7	0.26	 ... 	
NGC 5005	14.0	4.29	0.387	0.530	5.20	14.9	1.4	0.41	 ... 	
NGC 1055	14.8	5.58	0.587	0.744	6.12	17.1	2.1	0.37	 ... 	
NGC 7331	15.0	5.86	1.06	1.59	12.1	29.7	3.5	0.44	 ... 	
