#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-07-25T12:52:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d39a547de31	
#INFO	-out.max=unlimited	
#INFO	queryParameters=8	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-source=J/AJ/126/1607/table1
#

#RESOURCE=yCat_51261607
#Name: J/AJ/126/1607
#Title: IRAS Revised Bright Galaxy Sample (Sanders+, 2003)
#Table	J_AJ_126_1607_table1:
#Name: J/AJ/126/1607/table1
#Title: IRAS Revised Bright Galaxy Sample: Integrated Flux Densities and Luminosities
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a17)	Common name (1)	[ucd=]
#Column	n_Name	(A1)	indicates complements in table3	[ucd=]
#Column	f_Name	(A1)	Flag on Name (2)	[ucd=]
#Column	IRAS	(a11)	IRAS name (3)	[ucd=]
#Column	f_IRAS	(A1)	Flag on IRAS (4)	[ucd=]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000) (5)	[ucd=]
#Column	DEJ2000	(A9)	Degree of declination (J2000) (5)	[ucd=]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=]
#Column	HR	(A1)	HIRES code (6)	[ucd=]
#Column	l_F12um	(A1)	Limit flag on F12um	[ucd=]
#Column	F12um	(F7.2)	Total 12 micron band flux density	[ucd=]
#Column	u_F12um	(A1)	Confusion uncertainty flag on F12um	[ucd=]
#Column	e_F12um	(I2)	? 1 {sigma} error in F12um [NULL integer written as an empty string]	[ucd=]
#Column	S12um	(A1)	IR size flag on 12um (7)	[ucd=]
#Column	M12um	(A1)	Best flux estimate method flag on 12um (8)	[ucd=]
#Column	C12um	(A1)	Confusion type flag on 12um (9)	[ucd=]
#Column	F25um	(F7.2)	Total 25 micron band flux density	[ucd=]
#Column	u_F25um	(A1)	Confusion uncertainty flag on 25um	[ucd=]
#Column	e_F25um	(I3)	? 1 {sigma} error in F25um [NULL integer written as an empty string]	[ucd=]
#Column	S25um	(A1)	IR size flag on 25um (7)	[ucd=]
#Column	M25um	(A1)	Best flux estimate method flag on 25um (8)	[ucd=]
#Column	C25um	(A1)	Confusion type flag on 25um (9)	[ucd=]
#Column	F60um	(F8.2)	Total 60 micron band flux density	[ucd=]
#Column	u_F60um	(A1)	Confusion uncertainty flag on 60um	[ucd=]
#Column	e_F60um	(I3)	? 1 {sigma} error in F60um [NULL integer written as an empty string]	[ucd=]
#Column	S60um	(A1)	IR size flag on 60um (7)	[ucd=]
#Column	M60um	(A1)	Best flux estimate method flag on 60um (8)	[ucd=]
#Column	C60um	(A1)	Confusion type flag on 60um (9)	[ucd=]
#Column	F100um	(F8.2)	? Total 100 micron band flux density	[ucd=]
#Column	u_F100um	(A1)	Confusion uncertainty flag on 100um	[ucd=]
#Column	e_F100um	(I4)	? 1 {sigma} error in F100um [NULL integer written as an empty string]	[ucd=]
#Column	S100um	(A1)	IR size flag on 100um (7)	[ucd=]
#Column	M100um	(A1)	Best flux estimate method flag on 100um (8)	[ucd=]
#Column	C100um	(A1)	Confusion type flag on 100um (9)	[ucd=]
#Column	cz	(I5)	Heliocentric radial velocity (10)	[ucd=]
#Column	Dist	(F6.2)	Estimated source distance (11)	[ucd=]
#Column	f_Dist	(A1)	Flag on Dist (12)	[ucd=]
#Column	LogIR1	(F5.2)	Log of the 40-400 micron luminosity (13)	[ucd=]
#Column	u_LogIR1	(A1)	Uncertainty flag on LogIR1	[ucd=]
#Column	LogIR2	(F5.2)	Log of the 8-1000 micron luminosity (14)	[ucd=]
#Column	u_LogIR2	(A1)	Uncertainty flag on LogIR2	[ucd=]
#Column	Rank	(I3)	Sequential rank in the luminosity distribution	[ucd=]
#Column	OName	(a35)	Other names (15)	[ucd=]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
_RAJ2000	_DEJ2000	Name	n_Name	f_Name	IRAS	f_IRAS	RAJ2000	DEJ2000	GLON	GLAT	HR	l_F12um	F12um	u_F12um	e_F12um	S12um	M12um	C12um	F25um	u_F25um	e_F25um	S25um	M25um	C25um	F60um	u_F60um	e_F60um	S60um	M60um	C60um	F100um	u_F100um	e_F100um	S100um	M100um	C100um	cz	Dist	f_Dist	LogIR1	u_LogIR1	LogIR2	u_LogIR2	Rank	OName	Simbad	NED
#deg	deg	 	 	 	 	 	"h:m:s"	"d:m:s"	deg	deg	 	 	Jy	 	mJy	 	 	 	Jy	 	mJy	 	 	 	Jy	 	mJy	 	 	 	Jy	 	mJy	 	 	 	km/s	Mpc	 	[solLum]	 	[solLum]	 	 	 	 	
#----------	----------	-----------------	-	-	-----------	-	----------	---------	------	------	-	-	-------	-	--	-	-	-	-------	-	---	-	-	-	--------	-	---	-	-	-	--------	-	----	-	-	-	-----	------	-	-----	-	-----	-	---	-----------------------------------	------	---
002.479583	+25.926944	NGC 0023         	 	1	F00073+2538	 	00 09 55.1	+25 55 37	111.38	-36.01	 	 	   0.66	 	38	R	I	 	   1.29	 	 45	R	I	 	    9.03	 	 46	U	T	 	   15.66	 	 114	U	T	 	 4536	 59.62	 	10.89	 	11.05	 	183	MRK0545                            	Simbad	NED
002.777500	-12.107500	NGC 0034         	 	1	F00085-1223	 	00 11 06.6	-12 06 27	 88.78	-72.25	 	 	   0.35	 	32	U	T	 	   2.39	 	 55	U	T	 	   17.05	 	 45	U	T	 	   16.86	 	 135	U	T	 	 5931	 77.60	 	11.34	 	11.44	 	 83	VV850;MRK0938                      	Simbad	NED
003.727083	-39.188611	NGC 0055         	 	2	           	R	00 14 54.5	-39 11 19	332.89	-75.74	 	 	   1.34	 	  	R	R	 	   6.25	 	   	R	R	 	   77.00	 	   	R	R	 	  174.09	 	    	R	R	 	  125	  3.10	S	 9.31	 	 9.36	 	602	                                   	Simbad	NED
004.714167	-10.375833	MCG-02-01-051/2  	*	1	F00163-1039	 	00 18 51.4	-10 22 33	 96.77	-71.57	S	 	   0.28	 	34	M	I	 	   1.20	 	 55	U	T	 	    7.48	 	 48	M	I	 	    9.66	 	 138	U	T	 	 8112	105.76	 	11.27	 	11.41	 	 88	ARP256;VV352                       	Simbad	NED
007.590000	-33.243889	NGC 0134         	 	2	F00278-3331	R	00 30 21.6	-33 14 38	338.32	-82.38	 	 	   2.35	 	48	R	I	 	   2.59	 	 38	R	I	 	   22.65	 	 53	R	I	 	   58.87	 	 130	M	I	 	 1579	 15.90	S	10.25	 	10.37	 	398	AM0027-333                         	Simbad	NED
008.008333	-64.253889	ESO 079-G003     	 	2	F00298-6431	 	00 32 02.0	-64 15 14	306.41	-52.74	 	 	   0.42	 	 8	R	I	 	   0.88	 	 25	R	I	 	    7.05	 	 38	R	I	 	   17.41	 	  91	U	T	 	 2616	 35.31	 	10.42	 	10.51	 	354	AM0029-643NED02                    	Simbad	NED
008.567500	-27.802778	NGC 0150         	 	1	F00317-2804	 	00 34 16.2	-27 48 10	 21.90	-86.13	 	 	   0.66	 	40	R	I	 	   1.66	 	 35	M	I	 	    9.66	 	 56	M	I	 	   17.72	 	 166	U	T	 	 1584	 16.20	S	 9.79	 	 9.95	 	536	AM0031-280B                        	Simbad	NED
008.691667	 -8.398056	NGC 0157         	 	1	F00322-0840	 	00 34 46.0	-08 23 53	110.27	-70.86	 	 	   1.61	 	35	R	I	 	   2.17	 	 42	R	I	 	   17.93	 	 48	R	I	 	   42.43	 	 103	M	I	 	 1637	 21.92	 	10.40	 	10.52	 	352	                                   	Simbad	NED
009.216667	-33.555278	ESO 350-IG038    	 	2	F00344-3349	 	00 36 52.0	-33 33 19	328.10	-82.85	 	 	   0.52	 	19	R	I	 	   2.51	 	 34	U	T	 	    6.88	 	 41	U	T	 	    5.04	 	  27	U	T	 	 6156	 81.20	 	11.02	 	11.22	 	135	AM0034-334                         	Simbad	NED
009.243333	-29.479167	NGC 0174         	 	1	F00345-2945	 	00 36 58.4	-29 28 45	355.64	-86.04	 	 	   0.41	 	31	U	T	 	   1.27	 	 34	U	T	 	   11.36	 	 48	U	T	 	   19.77	 	 145	U	T	 	 3569	 47.28	 	10.79	 	10.90	 	234	AM0034-294                         	Simbad	NED
010.686667	+41.270278	NGC 0224         	 	2	F00400+4059	R	00 42 44.8	+41 16 13	121.18	-21.57	 	 	 163.23	 	  	R	R	 	 107.71	 	   	R	R	 	  536.18	 	   	R	R	 	 2928.40	 	    	R	R	 	 -300	  0.79	P	 9.33	 	 9.39	 	600	                                   	Simbad	NED
010.693750	-23.558611	NGC 0232         	 	1	F00402-2349	 	00 42 46.5	-23 33 31	 93.72	-85.93	S	 	   0.36	 	34	U	T	 	   1.28	 	 39	R	I	 	   10.05	 	 37	U	T	 	   17.14	 	  94	U	T	 	 6047	 79.23	 	11.19	 	11.30	 	115	VV830;AM0040-234                   	Simbad	NED
011.775000	-20.763333	NGC 0247         	 	1	F00446-2101	R	00 47 06.0	-20 45 48	113.86	-83.56	 	 	   0.14	 	53	U	T	 	   0.89	 	 42	R	Z	 	    8.73	 	 50	R	Z	 	   23.50	 	 124	R	Z	 	  159	  3.10	S	 8.43	 	 8.45	 	625	                                   	Simbad	NED
